respnum,intdate,gendr,q1,q2a,q2b,q3a,q3b,q3c,q3d,q3e,q3f,q3g,q4a,q4b,q4c,q4d,q4e,q5a,q5b,q5c,q5d,q5e,q5f,q6,q6a,q8a,q8b,q91,q92,q93,q94,q98,q99,q910,q911,q911a,q912,q10,q11a,q11b,q12,q131,q132,q133,q134,q138,q139,q1310,q13a0,q1311,q1312,q13a2,q14,q15,q16a,q16b,q16c,q17,q181,q182,q183,q184,q189,q1810,q1811,q1814,q1815,q19,q201,q202,q203,q204,q209,q2010,q2011,q2014,q2015,q2016,q21,q221,q222,q223,q224,q229,q2210,q2211,q2214,q2215,q2216,q23,q23aa,q23ab,q23a,q23b,q23c,q23d,q23ea,q23eb,q23ec,q23ed,q23ee,q23ef,q23e,q23e1,q23f,q23f1,q23fg,q23h,q24,q25b,q26,q28,q28y,q28m,q30a,q31,q32,q33,q34,q35,q37,wt,filter_$
21002938,20021016,1,8,0,1,.0540832882639265,0,0,0,0,0,0,.0540832882639265,0,0,0,0,.0540832882639265,0,0,0,0,0,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,112,99, ,7,7,8,9,5,6,8,7,5,7, , , , , , , , , , , , , , , , , , , , , , ,5,1,3,6,8,6,7,7,7,9,8,8, ,1,5,2, ,3,1,3,1,2,3, , ,3,4,4,3,1,3,9,1.05224452944182,1
21003738,20021016,2,10,0,2,0,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,0,0,.108166576527853,0,0,0,8,8, , , , , , , , , , , , ,2,29,3,10,10,10,10,10,9,10,8, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2, ,10,8,5,4,10,10,9,10,10, ,1,10,2, ,1,1,3,1,2,3, , ,3,4,1,5,6,2,98,.497335451815354,0
21004251,20021016,2,15,0,20,1.08166576527853,0,0,0,0,0,0,0,1.08166576527853,0,0,0,0,0,1.08166576527853,0,0,0,5,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2,9,8,7,10,10,8,10,6,10,5,7,5, , , , , , , , , , , , , , , , , , , , , , ,6,1,7,97,97,7,7,97,1,10,7,8, ,1,6,2, ,1,1,1,2,3,1,2, ,4,5,1,6,6,5,97,1.30496875774186,0
21004845,20021016,2,14,0,2,.108166576527853,0,0,0,0,0,0,0,.0540832882639265,.0540832882639265,0,0,.108166576527853,0,0,0,0,0,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,312, ,7,9,9,7,8,9,9,8,9,7, , , , , , , , , , , , , , , , , , , , , , ,6,1,6,9,6,4,7,7,7,9,3,9, ,2, ,2, ,3,5,3,1,3,1,10, ,5,3,3,1,5,3,5,1.465512699707,0
21006272,20021016,2,15,0,6,.324499729583559,0,0,0,0,0,0,0,0,0,.108166576527853,.216333153055706,0,0,.108166576527853,0,.108166576527853,.108166576527853,8,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,10,99, ,9,8,8,6,7,7,7,9,8,6, , , , , , , , , , , , , , , , , , , , , , ,6,1,6,7,6,7,8,9,8,9,9,8, ,2, ,1,9,1,4,2,2,1,2, ,1,4,4,3,1,3,2,97,1.30856716553541,1
21006688,20021016,2,15,2, ,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,15, , ,9,9,9,9,9,8,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , ,4,1,4,5,7,6,5,10,7,9,5,10, ,2, ,1,8,3,4,1,1,3,3, , ,5,3,6,4,1,5,97,1.11511324198258,1
21006837,20021016,2,15,2, ,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,6, , ,8,8,9,9,5,7,8,9,8,6, , , , , , , , , , , , , , , , , , , , , , ,9,2, ,5,7,8,1,7,10,9,9,8, ,2, ,2, ,1,1,2,1,3,1,3, ,2,4,1,5,6,5,2,1.30496875774186,1
21006875,20021016,1,1,14, ,0,0,0,14,0,0,0,5,2,5,2,0,14,0,0,0,0,0,7,6, , , , , , , , , , , , ,3,30,11,7,8,8,7,8,9,6,7, ,6,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,2, ,8,10,10,10,7,10,10,10,9, ,1,9,2, ,1,2,2,97,3,2, ,10,5,4,4,2,1,3,97,1.30376289531601,1
21006919,20021016,2,15,2, ,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,8, , ,8,10,10,10,5,9,9,9,9,10, , , , , , , , , , , , , , , , , , , , , , ,10,1,10,10,10,10,10,10,10,10,10,10, ,2, ,2, ,1,4,1,2,3,1,14, ,5,5,3,3,5,1,1,1.11511324198258,0
21007070,20021016,1,7,10, ,0,0,0,10,0,0,0,5,0,5,0,0,0,10,0,0,0,0,8,4, , , , , , , , , , , , ,3,6,15,9,8,8,6,7,9,10,7, ,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,8,8,9,9,7,8,9,8,8,9, ,2, ,2, ,1,2,2,2,1,2, ,14,5,4,5,1,3,4,1,1.30376289531601,0
21008538,20021016,2,9,2, ,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,8,1,2,8,9,7,8,9,7,8,8,8, ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,8,5,3,5,6,8,7,8,9,9, ,2, ,2, ,3,4,2,1,3,1,25, ,4,3,1,5,6,2,97,.490464369915274,0
21009917,20021016,1,12,1, ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,5, , , , , , , , , , , , ,2,14,6,7,97,6,6,8,8,8,97, ,97,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,5,97,7,7,6,9,8,8,8,9, ,2, ,2, ,3,1,3,1,3,3, , ,5,4,4,5,4,4,6,.463798028255438,1
21010213,20021016,2,12,2, ,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,926, , ,8,7,9,6,8,9,9,9,9,8, , , , , , , , , , , , , , , , , , , , , , ,8,1,7,9,6,8,9,5,6,8,7,9, ,2, ,1,6,1,1,2,1,1,2, ,1,4,4,2,1,3,1,97,.844761346937682,1
21010227,20021016,2,12,0,20,1.08166576527853,0,0,0,0,0,0,.540832882639265,.540832882639265,0,0,0,0,1.08166576527853,0,0,0,0,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,404,480, ,7,7,7,6,8,8,9,9,9,6, , , , , , , , , , , , , , , , , , , , , , ,7,1,5,6,5,10,6,8,8,10,10,10, ,2, ,1,5,1,4,2,2,1,2, ,4,3,4,6,1,3,4,3,.844761346937682,0
21012032,20021016,1,9,6, ,3,0,0,0,3,0,0,2,1,0,3,0,6,0,0,0,0,0,6,4,3,8,8,8,5,10,8,8,10,97, ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,5,97,6,4,10,7,8,8,8, ,2, ,1,8,3,4,2,1,1,1,6, ,2,6,4,1,2,4,6,.741122528278133,1
21001123,20021017,2,9,4, ,4,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,1,0,7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,236, , ,8,10,10,10,8,6,8,8,8,8, , , , , , , , , , , , , , , , , , , , , , ,2,1,3,4,8,2,4,2,4,8,8,8, ,1,7,2, ,1,1,2,2,2,1,6, ,5,3,2,2,2,3,3,.611208183463647,1
21003958,20021017,2,4,0,2,.108166576527853,0,0,0,0,0,0,0,0,0,0,.108166576527853,0,0,.108166576527853,0,0,0,8,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,501,923, ,8,10,10,10,10,7,9,9,10,3, , , , , , , , , , , , , , , , , , , , , , ,5,2, ,5,6,3,6,10,8,10,8,10, ,2, ,1,10,3,1,1,1,1,2, ,6,4,4,2,4,1,5,6,1.13036033611129,0
21004556,20021017,1,15,6, ,6,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,99, , ,8,8,8,8,8,8,8,10,10,8, , , , , , , , , , , , , , , , , , , , , , ,9,1,8,6,7,6,7,8,6,10,8,10, ,1,5,2, ,1,1,2,1,3,1,20, ,2,4,2,2,1,2,3,1.67642018034218,0
21004776,20021017,1,4,0,2,0,.108166576527853,0,0,0,0,0,0,0,0,0,.108166576527853,0,0,0,0,.108166576527853,0,8,6, , , , , , , , , , , , ,5,19,1,8,97,10,6,10,10,9,6, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,97,10,8,97,10,8,10,7,10, ,2, ,2, ,1,1,3,1,2,1,5, ,5,4,3,1,3,5,4,1.51479871569176,0
21005498,20021017,1,14,0,4,.108166576527853,0,0,.108166576527853,0,0,0,0,.216333153055706,0,0,0,0,0,.108166576527853,0,.108166576527853,0,6,8, , , , , , , , , , , , ,2,20,6,9,8,9,9,9,10,9,7, ,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,2, ,5,7,8,7,10,8,9,10,10, ,2, ,2, ,1,1,3,1,3,1,12, ,5,5,2,6,6,5,4,1.67119980880848,1
21006731,20021017,1,7,1, ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,6, , , , , , , , , , , , ,5,1,13,5,97,8,7,7,8,7,8, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,8,7,8,8,6,8,8,10,8,7, ,2, ,2, ,3,1,2,1,3,1,7, ,4,2,1,3,1,3,3,1.36118995391388,1
21006903,20021017,2,15,0,3,.162249864791779,0,0,0,0,0,0,0,.162249864791779,0,0,0,0,0,0,.162249864791779,0,0,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,27, , ,5,6,8,8,8,5,6,7,5,3, , , , , , , , , , , , , , , , , , , , , , ,3,1,3,2,2,7,4,3,8,9,8,9, ,2, ,2, ,1,1,1,1,3,1,50, ,5,4,2,6,6,2,98,1.30496875774186,0
21007045,20021017,2,15,1, ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,43, , ,6,10,10,7,7,7,7,6,9,5, , , , , , , , , , , , , , , , , , , , , , ,6,1,6,6,6,7,7,10,9,10,10,10, ,2, ,2, ,1,1,1,2,3,1,10, ,4,4,1,4,1,3,8,1.11511324198258,1
21007157,20021017,2,15,10, ,10,0,0,0,0,0,0,5,0,2,3,0,0,10,0,0,0,0,10,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,25, , ,10,10,10,10,5,7,10,10,8,10, , , , , , , , , , , , , , , , , , , , , , ,7,2, ,5,4,8,7,5,10,10,10,10, ,2, ,1,10,1,2,1,2,1,2, ,2,5,5,1,1,3,5,1,1.30856716553541,0
21007918,20021017,2,12,0,2,.108166576527853,0,0,0,0,0,0,.0540832882639265,0,.0540832882639265,0,0,0,0,0,0,0,.108166576527853,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,8,98, ,8,8,7,6,7,9,9,97,7,7, , , , , , , , , , , , , , , , , , , , , , ,8,1,8,8,97,7,7,10,8,9,8,10, ,1,8,1,7,3,1,2,1,1,3, , ,4,5,2,5,1,5,6,.28110359506774,0
21009924,20021017,1,17,2, ,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,258, , ,7,8,8,8,3,8,9,9,9,7, , , , , , , , , , , , , , , , , , , , , , ,6,97, ,7,8,7,7,6,7,7,8,7, ,2, ,2, ,1,2,3,1,3,1,1, ,4,3,4,1,3,4,97,.212676344526303,0
21010545,20021017,1,12,2, ,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6,6, , , , , , , , , , , , ,5,3,1,8,97,8,8,9,9,9,97, ,97,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,97,6,97,97,2,7,10,1,10, ,2, ,2, ,3,1,2,1,3,3, , ,2,2,3,3,1,3,9,.952933171017422,0
21010904,20021017,1,12,1, ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,7, , , , , , , , , , , , ,3,11,1,8,4,7,7,7,9,9,5,2,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,6,6,7,5,7,8,7,8,9, ,1,10,2, ,1,1,2,1,3,1,6, ,5,5,2,2,1,3,6,.817762853411103,0
21011264,20021017,2,12,12, ,12,0,0,0,0,0,0,2,2,2,2,4,12,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,98, , ,8,8,8,5,7,9,9,10,4,8, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,10,10,10,10,10, ,2, ,2, ,3,4,1,2,3,1,12, ,5,4,3,5,1,3,98,.28110359506774,0
21011268,20021017,1,12,2, ,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,925,98, ,10,10,10,10,9,10,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,10,2, ,8,10,10,7,10,8,10,10,10, ,2, ,2, ,1,5,2,2,3,1,11, ,2,4,3,2,1,5,5,.817762853411103,1
21011565,20021017,1,12,12, ,6,0,0,6,0,0,0,2,0,10,0,0,12,0,0,0,0,0,7,8, , , , , , , , , , , , ,3,4,2,9,8,9,7,7,8,9,8, ,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,7,6,7,8,8,10,9,10, ,2, ,1,9,1,1,1,2,3,1,2, ,4,4,2,2,1,3,5,.817762853411103,1
21013001,20021017,2,9,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,240, , ,3,4,9,9,2,5,8,10,7,6, , , , , , , , , , , , , , , , , , , , , , ,7,2, ,4,8,8,5,10,10,10,9,10, ,1,4,2, ,3,2,2,1,3,1,13, ,5,4,1,5,1,4,4,.490464369915274,0
21023321,20021017,1,17,5, ,5,0,0,0,0,0,0,3,0,2,0,0,5,0,0,0,0,0,7,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,250, , ,8,9,7,6,5,8,9,10,10,6, , , , , , , , , , , , , , , , , , , , , , ,7,2, ,8,10,6,10,10,5,10,8,97, ,2, ,2, ,1,1,2,1,1,2, ,6,4,5,1,3,1,5,98,.239113650122803,0
21002534,20021023,1,8,8, ,0,0,0,8,0,0,0,4,0,4,0,0,8,0,0,0,0,0,8,9, , , , , , , , , , , , ,3,11,14,8,97,7,7,8,9,9,97, ,8,8, ,3,1,130, , ,8,97,8,8,8,8,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , ,8,1,8,8,97,8,8, , , , , , ,2, ,2, ,1,4,2,1,3,1,10, ,5,5,2,4,1,5,9,1.05224452944182,1
21004337,20021023,1,15,6, ,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6,0,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,98, , ,9,9,10,10,9,9,9,10,9,8, , , , , , , , , , , , , , , , , , , , , , ,9,2, ,8,8,8,8, , , , , , ,2, ,1,8,1,4,1,1,3,1,6, ,5,5,2,3,3,5,6,1.5123709334204,1
21004534,20021023,2,4,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,501, , ,10,9,10,8,10,10,8,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,6,2, ,6,6,6,7, , , , , , ,1,9,1,10,3,2,1,2,1,1,24, ,5,4,1,4,1,5,6,1.13036033611129,1
21005574,20021023,1,14,4, ,1,3,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,8,5, , , , , , , , , , , , ,5,20,1,9,9,7,7,6,10,10,7, ,97,10, ,2,1,923, , ,8,10,10,8,8,7,10,8,8,5, , , , , , , , , , , , , , , , , , , , , , ,5,1,5,7,7,7,5, , , , , , ,2, ,1,8,1,1,3,1,3,3, , ,4,4,7,3,1,4,6,1.05224452944182,1
21005786,20021023,2,14,3, ,2,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,3,1, , , , , , , , , , , , ,5,17,11,4,1,8,9,6,3,7,8, ,8,2,5,4,2,340,319, ,5,6,8,9,7,8,8,6,7,8,6,8,9,7,6,4,8,5,8,7, , , , , , , , , , , , ,9,1,7,6,8,6,8, , , , , , ,2, ,2, ,2,6,2,2,3,1,1, ,5,5,6,1,2,1,3,1.465512699707,1
21006129,20021023,1,18,10, ,10,0,0,0,0,0,0,5,3,2,0,0,10,0,0,0,0,0,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,354, , ,9,9,9,9,8,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,8,8,8, , , , , , ,1,8,2, ,1,2,3,1,3,1,5, ,5,5,1,4,2,5,4,1.05224452944182,1
21006260,20021023,1,15,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,160, , ,6,8,8,8,1,7,6,8,3,2, , , , , , , , , , , , , , , , , , , , , , ,3,2, ,8,8,7,7, , , , , , ,2, ,2, ,1,1,2,1,2,1,20, ,3,4,3,2,1,3,7,1.67642018034218,1
21006371,20021023,2,2,3, ,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,10,8, , , , , , , , , , , , ,2,29,1,10,10,8,8,10,10,9,7, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,9,9,9,8, , , , , , ,2, ,2, ,1,1,3,1,3,3, , ,4,4,2,5,6,5,7,.497335451815354,1
21007493,20021023,2,10,1, ,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,9, , , , , , , , , , , , ,2,29,15,9,3,7,6,7,10,9,2,2,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,9,7,6, , , , , , ,2, ,1,9,1,1,2,1,2,2, ,6,3,5,4,1,3,4,1,.933254594546236,1
21007497,20021023,1,1,3, ,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,112, , ,7,7,9,4,10,4,10,10,10,4, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,7,5,7,5, , , , , , ,2, ,2, ,1,1,1,1,3,1,20, ,4,3,1,4,1,4,4,1.36118995391388,1
21008593,20021023,2,12,0,2,0,.108166576527853,0,0,0,0,0,0,0,0,0,.108166576527853,0,0,0,0,.108166576527853,0,8,3, , , , , , , , , , , , ,5,5,4,8,3,6,2,9,7,9,1,1,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,5,6,1,1, , , , , , ,2, ,2, ,1,1,1,1,3,3, , ,4,97,2,3,2,5,5,.294406773079841,0
21010630,20021023,1,9,0,2,0,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,.108166576527853,0,0,0,0,0,3,5, , , , , , , , , , , , ,2,3,18,10,97,9,9,9,9,9,8, ,97,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,2, ,8,8,6,8, , , , , , ,2, ,2, ,3,1,3,97,3,1,14, ,5,4,1,5,1,5,9,.397585784491025,0
21027322,20021023,2,5,0,1,0,0,.0540832882639265,0,0,0,0,0,.0540832882639265,0,0,0,0,0,0,.0540832882639265,0,0,5,6,2,8,6,8,8,7,9,8,10,8, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,2, ,7,7,7,8, , , , , , ,2, ,2, ,3,1,2,1,2,1,25, ,2,3,2,5,6,5,98,.146419483346955,1
21007364,20021024,1,18,2, ,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,7, , , , , , , , , , , , ,3,20,11,8,6,7,6,8,8,7,6, ,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,9,8,7,6,8,7,9,6,8, ,2, ,2, ,1,1,2,1,3,3, , ,3,4,4,1,3,2,97,1.51479871569176,1
21007791,20021024,2,1,0,2,0,.108166576527853,0,0,0,0,0,0,.108166576527853,0,0,0,0,0,0,0,.108166576527853,0,9,7, , , , , , , , , , , , ,2,26,1,9,97,8,97,97,8,8,3,2,97,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,97,97, ,6,8,97,97, , , , , , ,2, ,2, ,1,5,2,1,3,3, , ,95,4,2,6,6,5,97,1.11411730059015,0
21007880,20021024,2,8,10, ,0,10,0,0,0,0,0,5,2,3,0,0,10,0,0,0,0,0,8,8, , , , , , , , , , , , ,2,2,17,8,10,8,8,8,8,9,9, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2, ,7,7,8,6, , , , , , ,2, ,2, ,1,3,3,1,3,1,6, ,4,4,4,4,2,2,9,1.13036033611129,1
21008236,20021024,2,15,6, ,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,7, , ,5,10,10,10,10,10,10,10,10,2, , , , , , , , , , , , , , , , , , , , , , ,2,1,97,2,5,5,97, , , , , , ,1,7,2, ,3,4,1,1,3,1,50, ,4,3,2,5,1,5,9,1.30496875774186,0
21008353,20021024,2,14,2, ,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,5,8, , , , , , , , , , , , ,2,19,3,8,9,10,6,3,9,10,97, ,10,10, ,1,2,923,925, ,1,10,10,10,4,3,10,8,6,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, ,2,6,2,97, , , , , , ,2, ,2, ,1,6,97,1,3,3, , ,1,4,1,6,6,2,98,1.46978688280814,1
21008388,20021024,1,9,2, ,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,10, , ,5,6,7,7,4,2,3,9,6,1, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,5,5,4,4, , , , , , ,2, ,2, ,3,4,3,1,3,1,30, ,4,3,1,6,6,5,6,.397585784491025,0
21008526,20021024,2,15,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,9,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,22, , ,10,9,10,10,9,8,9,10,9,9, , , , , , , , , , , , , , , , , , , , , , ,9,2, ,97,8,7,9, , , , , , ,1,9,1,8,1,2,1,1,3,1,1, ,4,4,1,5,1,5,3,1.30496875774186,0
21008943,20021024,2,2,6, ,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,3,1, , , , , , , , , , , , ,2,29,3,4,1,5,5,7,10,9,1,1,8,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,2,97,1,97, , , , , , ,1,10,2, ,3,1,3,1,3,3, , ,5,3,2,6,6,5,98,.497335451815354,1
21009036,20021024,1,14,10, ,0,8,0,2,0,0,0,5,0,0,5,0,10,0,0,0,0,0,10,9, , , , , , , , , , , , ,1,20,4,10,7,9,8,9,97,10,7, ,8,10, ,4,1,321, , ,6,8,10,6,10,4,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , ,10,2, ,8,10,10,6, , , , , , ,1,1,2, ,1,4,3,1,1,2, ,10,5,4,1,4,1,3,4,1.05224452944182,0
21009149,20021024,1,4,0,2,0,.108166576527853,0,0,0,0,0,0,.0540832882639265,0,.0540832882639265,0,0,0,.108166576527853,0,0,0,6,7, , , , , , , , , , , , ,5,22,4,5,7,8,8,8,8,9,7, ,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,6,7,7,5,6, , , , , , ,2, ,2, ,3,1,2,1,2,1,10, ,3,4,2,4,1,5,9,1.05224452944182,1
21009301,20021024,1,14,4, ,0,4,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,7,7, , , , , , , , , , , , ,4,1,18,7,6,5,6,8,7,6,6, ,7,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,7,7,8,97, , , , , , ,2, ,2, ,1,4,3,1,3,1,6, ,5,6,4,3,1,5,6,1.05224452944182,1
21009388,20021024,2,10,5, ,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,5, , , , , , , , , , , , ,3,11,30,4,5,7,7,7,4,9,6, ,6,4,5,3,1,159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,4,4,3,6,2, , , , , , ,2, ,2, ,3,4,2,1,1,1,1, ,4,4,4,4,1,5,98,.55794390481619,0
21009739,20021024,1,8,0,2,0,.108166576527853,0,0,0,0,0,0,.0540832882639265,0,0,.0540832882639265,0,0,.0540832882639265,0,.0540832882639265,0,8,5, , , , , , , , , , , , ,5,17,4,8,97,8,8,8,8,10,97, ,97,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,8,5,5, , , , , , ,2, ,2, ,3,1,3,1,3,3, , ,4,5,4,2,1,3,98,1.51479871569176,1
21010078,20021024,1,8,0,4,0,.216333153055706,0,0,0,0,0,0,.108166576527853,.108166576527853,0,0,0,0,.216333153055706,0,0,0,6,3, , , , , , , , , , , , ,2,17,2,7,6,7,7,4,3,8,6, ,10,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,7,7,6,7, , , , , , ,2, ,2, ,3,1,3,2,2,3, , ,2,3,3,1,4,5,2,1.51479871569176,1
21010143,20021024,2,10,2, ,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,9,4, , , , , , , , , , , , ,5,11,4,9,7,7,6,9,7,8,7, ,7,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,8,8,6,5, , , , , , ,2, ,2, ,3,1,2,1,3,3, , ,4,2,3,1,3,4,97,.933254594546236,1
21010286,20021024,1,14,12, ,10,2,0,0,0,0,0,0,4,5,3,0,2,0,5,4,1,0,7,5, , , , , , , , , , , , ,2,18,11,8,8,6,8,3,9,8,8, ,4,7, ,4,1,320, , ,8,7,9,6,6,9,9,8,8,5, , , , , , , , , , , , , , , , , , , , , , ,3,2, ,7,6,6,5, , , , , , ,1,7,1,7,1,4,1,2,1,2, ,1,4,4,2,1,2,2,4,1.51479871569176,0
21002167,20021025,1,12,2, ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,407, , ,6,97,8,10,7,8,8,4,6,97, , , , , , , , , , , , , , , , , , , , , , ,7,1,7,3,2,4,7, , , , , , ,2, ,1,4,2,1,2,1,2,1,3, ,4,3,2,4,6,2,8,.952933171017422,0
